17 18 722 19 32 2446 4	3275 8 6 67 4
21 46 9 2280 19 3 43 3 4	13 19 1388 3 6 342 4
12 11 9 215 4	9 12 218 4
228 3 33 3 1200 28 1628 4	135 701 3 363 749 1742 4
5 55 873 69 8 4	84 3 8 6 4
5 1659 14 18 398 24 169 4	5 64 171 60 109 3 4
21 63 13 48 52 7 167 1107 4	13 18 27 100 119 1259 4
1317 3 168 20 3 4	3 2302 5 6 3 3390 7 369 4
25 18 3172 4	34 20 3 4
15 13 255 24 189 26 57 4	48 76 326 3 4
31 1032 63 14 15 10	14 3247 11 23 21 10
45 18 9 94 60 4	79 19 277 114 4
14 27 6 220 7 3 4	14 12 3349 3 2998 6 4
5 40 82 7 905 74 35 1050 4	84 11 3 6 56 3 4
11 24 32 2389 10	95 8 6 114 15 10
52 81 337 75 887 10	252 100 3 6 10
5 299 24 11 6 139 85 4	5 111 95 39 6 4
5 167 274 62 515 9 103 4	5 159 3 229 210 4
29 165 22 115 58 4	16 1121 19 144 103 6 86 4
59 20 205 47 38 45 4	5 134 6 106 28 43 45 590 4
5 98 247 786 7 1653 71 8 183 4	5 535 227 47 53 568 8 6 393 4
5 64 9 1678 873 106 151 4	5 200 23 7 26 257 6 892 4
25 18 9 179 192 7 231 4	61 388 2412 4
5 15 13 113 8 170 844 459 4	5 18 71 8 776 1029 38 4
21 1784 6 324 790 4	13 77 926 564 7 4
20 275 99 23 9 257 1488 4	5 347 23 7 26 272 6 1505 401 4
144 5 22 135 471 7 312 10	5 52 220 3 6 98 15 36
73 8 346 3796 23 32 496 10	8 720 31 8 6 3 5 15 36
17 11 3248 25 12 46 99 9 491 4	2010 6 12 9 605 7 221 4
5 109 234 135 4	5 233 453 7 140 391 4
5 37 13 75 6 592 19 34 1016 4	5 42 3707 9 1285 6 3169 4
34 1302 11 2170 628 19 438 4	9 6 3020 12 634 19 267 6 2760 4
32 686 18 255 4	8 6 3 145 4
5 127 75 1576 109 166 9 2350 4	403 207 5 195 28 20 1218 4
45 30 104 869 928 16 6 1709 4	1874 154 19 97 760 6 560 4
29 156 49 61 28 875 4	16 69 3 723 7 9 4
20 263 174 23 84 5 27 580 59 139 4	5 106 306 5 825 165 3 4
5 40 265 8 55 38 141 166 134 4	5 295 8 1771 47 163 4
190 253 4	375 54 4
29 120 2152 202 2268 4	16 116 1671 29 6 245 4
8 22 257 437 4	8 6 429 413 272 4
57 153 23 32 3 641 4	541 5 8 6 3 586 4
119 78 13 213 251 4	948 88 3299 134 6 98 4
5 22 259 264 6 196 4	5 96 246 7 1508 50 4
5 2298 43 4	5 1207 13 4
12 3 23 33 6 1226 4	9 3 5 6 1655 4
52 69 365 804 19 302 10	41 76 1370 424 241 10
24 11 9 409 19 20 382 4	95 415 5 2762 6 379 4
5 40 9 3 19 6 371 4	5 12 374 3 4
118 11 154 18 103 4	81 12 3 3 4
24 94 11 598 253 188 4	34 219 456 107 54 1079 4
3 3 11 53 685 16 1628 4	3 3 19 80 2844 6 1742 4
15 8 22 9 126 1528 10	8 19 576 6 659 15 10
115 119 28 1620 47 3 3916 3 4	3 2815 11 1007 6 75 1175 3 1081 3772 4
5 51 7 271 474 152 209 4	5 753 32 733 1849 4
5 1259 7 9 274 818 4	5 12 210 814 6 2254 4
14 50 70 30 16 6 294 453 4	14 44 63 11 3 3632 4
8 22 715 112 107 25 5 42 1381 2601 8 4	8 1221 7 174 103 17 1605 5 249 3 8 7 4
5 3170 4	5 398 2044 7 4
12 1316 6 1059 26 121 12 63 13 319 117 107 4	9 373 636 7 17 161 9 18 184 2675 4
45 18 962 16 45 4	131 11 189 4
261 11 32 94 10	1868 12 62 6 114 10
3 3 11 9 559 1843 19 381 4	3 3 12 5 157 30 6 953 934 4
6 3 11 3 4	3 1754 7 4
6 721 27 155 464 177 1662 7 344 329 4	1430 235 472 17 433 297 7 945 229 4
5 193 17 28 1961 25 8 88 33 20 700 4	3 316 837 138 8 43 349 11 5 3 4
160 6 94 33 6 1165 1188 4	31 114 323 157 1153 6 2761 46 4
8 148 335 214 450 4	8 90 331 155 73 4
21 2715 3 35 6 943 4	13 227 153 3 7 1648 539 4
5 40 480 309 41 20 275 139 91 4	93 865 44 347 2016 366 141 4
5 48 370 1049 4	5 199 405 406 4
12 144 22 762 6 106 187 4	9 74 585 7 157 128 819 172 4
29 55 22 7 15 25 26 117 4	16 92 821 23
8 88 177 28 105 4	8 484 297 7 4
159 36 1567 4	91 156 30 1120 4
8 15 13 75 61 56 288 56 32 275 26 15 8 10	8 89 8 347 3180 516 17 55 376 10
14 156 95 194 4	14 21 92 37 65 16 4
5 15 13 48 146 69 34 1064 4	5 18 27 102 1283 9 893 6 67 4
87 63 24 534 2596 7 10	358 1194 3 139 10
29 77 109 69 264 60 4	16 963 532 7 4
17 367 25 5 72 206 20 1407 4	5 467 577 7 5 6 487 4
14 163 70 11 1828 4	2153 63 1609 4
21 27 244 41 3 105 4	13 282 129 2715 4
8 42 229 23 2748 8 36 4	8 30 21 56 119 65 5 47 21 56 119 4
73 8 346 2629 6 452 10	8 720 326 508 15 36
14 78 13 79 7 105 137 295 12 63 13 224 161 4	14 64 18 618 382 1306 484 4
1822 41 43 275 26 21 11 13 53 2539 4	520 13 6 347 3 17 13 55 3 182 4
17 11 39 9 281 4	34 55 389 553 4
12 1087 28 1184 118 4	9 81 622 22 991 4
5 15 13 51 7 3 6 3 28 8 4	5 120 31 3 1992 3 2486 4
5 40 112 1846 4	5 20 2409 4
8 66 72 140 3 4	8 1713 105 3 4
96 15 8 400 44 7 6 683 41 10	8 1166 44 72 22 54 281 10
21 1318 23 52 7 262 4	13 651 5 285 162 4
21 298 56 84 21 88 796 4	13 54 151 467 1319 7 4
21 1784 95 9 902 1268 4	13 69 16 926 7 3 6 3 4
5 120 51 7 93 8 4	33 32 118 45 8
123 19 6 2200 457 19 2171 4	279 2152 3678 1724 4
15 13 231 251 8 276 4	76 148 8 85 45 6 3 67 4
5 55 153 8 9 179 3479 4	84 65 8 635 3249 4
15 8 76 14 11 117 326 10	8 165 14 825 3 7 10
